execution_id,block_id,section_id,department,planned_start,planned_end,actual_start,actual_end,planned_duration,actual_duration,variance_minutes,completed_tasks,total_tasks,completion_percentage,machine_id,crew_id,status,deviation_reason,notes,created_at,recorded_by
EXE_1042,RB-1042,SEC_021,Engineering+TRD,2026-09-24T10:00:00,2026-09-24T12:00:00,2026-09-24T10:08:00,,120,,,3,5,60.0,BCM-02,Crew-17,ACTIVE,,Ballast cleaning in progress on Down Line,2026-09-24T10:00:00,controller
EXE_1045,RB-1045,SEC_012,TRD,2026-09-24T11:30:00,2026-09-24T13:30:00,2026-09-24T11:35:00,,120,,,2,4,50.0,TOW-04,Crew-09,ACTIVE,,OHE contact wire replacement,2026-09-24T11:30:00,controller
EXE_001,RB-1001,SEC_021,Engineering,2026-09-02T10:00:00,2026-09-02T12:00:00,2026-09-02T10:05:00,2026-09-02T12:01:00,120,116.0,-4.0,4,4,100.0,BCM-01,Crew-24,COMPLETED,,Work completed successfully as scheduled.,2026-09-02T12:01:00,controller
EXE_002,RB-1002,SEC_018,Engineering,2026-09-03T01:00:00,2026-09-03T02:30:00,2026-09-03T01:04:00,2026-09-03T02:09:00,90,65.0,-25.0,4,4,100.0,FRM-80,Crew-02,COMPLETED,,Work completed successfully as scheduled.,2026-09-03T02:09:00,controller
EXE_003,RB-1003,SEC_007,Engineering+S&T,2026-09-04T14:00:00,2026-09-04T18:00:00,2026-09-04T14:05:00,2026-09-04T17:45:00,240,220.0,-20.0,3,3,100.0,FRM-80,Crew-08,COMPLETED,,Work completed successfully as scheduled.,2026-09-04T17:45:00,controller
EXE_004,RB-1004,SEC_014,S&T,2026-09-05T06:00:00,2026-09-05T08:30:00,2026-09-05T06:02:00,2026-09-05T08:18:00,150,136.0,-14.0,3,3,100.0,T-28,Crew-05,COMPLETED,,Work completed successfully as scheduled.,2026-09-05T08:18:00,controller
EXE_005,RB-1005,SEC_020,S&T,2026-09-06T14:00:00,2026-09-06T18:00:00,2026-09-06T14:04:00,2026-09-06T18:18:00,240,254.0,14.0,6,6,100.0,BCM-01,Crew-24,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-06T18:18:00,controller
EXE_006,RB-1006,SEC_012,TRD+S&T,2026-09-07T01:00:00,2026-09-07T02:30:00,2026-09-07T01:05:00,2026-09-07T03:03:00,90,118.0,28.0,3,4,75.0,DGS-02,Crew-23,PARTIAL,MACHINE_DELAY,Partial execution: 3/4 tasks done. MACHINE_DELAY constrained remaining window.,2026-09-07T03:03:00,controller
EXE_007,RB-1007,SEC_013,S&T,2026-09-08T10:00:00,2026-09-08T12:00:00,2026-09-08T10:05:00,2026-09-08T12:18:00,120,133.0,13.0,5,5,100.0,WST-03,Crew-21,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-08T12:18:00,controller
EXE_008,RB-1008,SEC_021,Engineering,2026-09-09T06:00:00,2026-09-09T08:00:00,2026-09-09T06:05:00,2026-09-09T08:00:00,120,115.0,-5.0,6,6,100.0,CSM-04,Crew-18,COMPLETED,,Work completed successfully as scheduled.,2026-09-09T08:00:00,controller
EXE_009,RB-1009,SEC_018,TRD,2026-09-10T06:00:00,2026-09-10T07:30:00,2026-09-10T06:09:00,2026-09-10T06:36:00,90,27.0,0.0,0,5,0.0,UNIMAT-08,Crew-02,ABANDONED,EMERGENCY_DEFECT,Possession abandoned after 27 min due to emergency_defect.,2026-09-10T06:36:00,controller
EXE_010,RB-1010,SEC_007,TRD+S&T,2026-09-11T14:00:00,2026-09-11T17:00:00,2026-09-11T14:04:00,2026-09-11T17:23:00,180,199.0,19.0,4,6,66.7,UNIMAT-08,Crew-07,PARTIAL,TRAIN_DELAY,Partial execution: 4/6 tasks done. TRAIN_DELAY constrained remaining window.,2026-09-11T17:23:00,controller
