task_id,logged_date,target_completion_date,department,defect_type,severity,priority,section_id,start_km,end_km,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
TMS_TASK_000001,2024-06-26,2024-07-03,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_052,26.497,26.676,TP,Tiruchchirapalli Fort - Tiruchchirappalli Palakarai Block,10.819276,78.690886,2.7,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000002,2024-08-09,2024-08-14,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_015,158.913,160.218,GI,Guduvancheri - Kattangulathur Block,12.836658,80.050948,2.9,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000003,2024-06-28,2024-08-09,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_061,149.782,150.65,AYR,Ayyalur - Vadamadurai Block,10.482936,78.155377,3.5,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000004,2024-09-24,2024-10-01,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_021,92.12,92.881,MMK,Madurantakam - Melmaruvattur Block,12.483447,79.876406,4.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000005,2024-05-30,2024-06-01,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_024,91.948,92.776,KSGL,Karasangal - Olakur Block,12.323436,79.73926,3.6,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000006,2024-11-27,2024-12-03,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_003,169.087,169.536,GDY,Guindy - St. Thomas Mount Block,12.996135,80.200675,2.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000007,2024-09-07,2024-09-17,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_022,26.411,26.59,MLMR,Melmaruvattur - Tozhuppedu Block,12.399259,79.809175,4.6,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000008,2024-01-13,2024-02-17,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_053,152.259,153.303,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.80036,78.689276,3.4,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000009,2024-03-07,2024-03-15,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_002,45.949,45.982,MBM,Mambalam - Guindy Block,13.01331,80.215001,2.1,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000010,2024-04-17,2024-05-25,ENGINEERING,Track Parameter Deviation,MEDIUM,P3_NORMAL,SEC_030,26.488,26.667,MYP,Mundiyampakkam - Viluppuram Junction Block,11.949901,79.501055,2.0,2,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000011,2024-03-11,2024-04-19,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_038,119.933,120.588,ICG,Ichchangadu - Mathur Block,11.34324,79.212437,3.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000012,2024-10-19,2024-10-23,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_002,193.231,193.719,MBM,Mambalam - Guindy Block,13.033588,80.225464,3.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000013,2024-01-07,2024-01-30,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_064,155.218,155.978,MDU,Madurai Junction - Tiruparankundram Block,9.907676,78.096994,3.3,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000014,2024-10-19,2024-10-20,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_060,157.129,157.855,KFC,Kalpattichatram - Ayyalur Block,10.504341,78.201866,2.3,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000015,2024-05-19,2024-05-27,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_021,154.259,154.698,MMK,Madurantakam - Melmaruvattur Block,12.449514,79.849431,2.4,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000016,2024-07-30,2024-08-27,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_033,161.346,162.412,TVNL,Tiruvennainallur Road - Pavunur Block,11.675293,79.34584,3.2,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000017,2024-03-11,2024-03-22,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_058,125.049,125.484,CII,Chettiyapatti - Vaiyampatti Block,10.55422,78.32869,4.4,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000018,2024-01-23,2024-01-26,ENGINEERING,Track Parameter Deviation,CRITICAL,P1_EMERGENCY,SEC_022,32.923,33.397,MLMR,Melmaruvattur - Tozhuppedu Block,12.378344,79.792331,2.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000019,2024-12-24,2025-01-06,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_049,165.8,165.841,VLDE,Valadi - Srirangam Block,10.861084,78.710085,2.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000020,2024-08-02,2024-08-20,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_059,93.419,93.7,VPJ,Vaiyampatti - Kalpattichatram Block,10.521273,78.242927,2.0,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000021,2024-07-12,2024-07-21,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_042,101.338,102.391,ALU,Ariyalur - Sillakkudi Block,11.104535,79.041932,4.8,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000022,2024-10-28,2024-10-31,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_060,87.613,87.784,KFC,Kalpattichatram - Ayyalur Block,10.512175,78.220429,4.2,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000023,2024-04-22,2024-04-29,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_015,44.357,44.433,GI,Guduvancheri - Kattangulathur Block,12.841189,80.054491,4.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
