dataset_name,file_path,source,source_type,rows_or_size,sha256_16chars,provenance_notes,consuming_components
stations,data/raw/network/stations.csv,OSM + public geospatial data,DERIVED,69 stations,372653b799ecba48,"69 stations MS→TN. Chainage derived from OSM track geometry. NOT official IR chainage.",SeasonalRiskEngine; SpatialMapper; NetworkValidator; ConstraintEngine
block_sections,data/raw/network/block_sections.csv,Derived from stations.csv,DERIVED,68 sections,64ab800f7c780ffa,"68 planning sections SEC_001–SEC_068. Labeled as RailBlock Planning Sections — NOT official IR block sections.",ConstraintEngine; MILP; MDPSEngine; RollingPlanner; SRS
track_geometry,data/raw/network/track_geometry.csv,OpenStreetMap (OSM),DERIVED,1416 rows,fa3c5a0bd74eb528,"OSM-derived track geometry for Chennai–Thoothukudi corridor. Coordinate accuracy varies.",SpatialMapper; LinearReferenceEngine
signal_reference,data/raw/network/signal_reference.csv,Synthetically generated,DERIVED,246 entries,6f6cddef25c7370b,"Synthetic signal identifiers used for planning logic demonstration. NOT official IR signal codes.",ConstraintEngine; ResourceFeasibility
ohe_mast_reference,data/raw/network/ohe_mast_reference.csv,Synthetically generated,DERIVED,10278 entries,44c1c9447b46620f,"Synthetic OHE mast identifiers for TRD task spatial mapping. NOT official OHE records.",ResourceFeasibility; SpatialMapper
train_timetable,data/raw/traffic/train_timetable.csv,Synthetic (timetable-grounded),SYNTHETIC,50000 rows,d2da85440c0bc640,"Synthetic schedule: 500 trains × 7 days × 68 sections. Grounded in corridor traffic patterns from OGD source. 7143 avg services/day.",TrafficDensityEngine; ConstraintEngine; MILP; MDPSEngine
railway_train_details_original,data/raw/timetable/ogd/railway_train_details_original.csv,Indian Railways OGD public timetable,REAL,186124 rows,d2da85440c0bc640,"Full national IR timetable from data.gov.in. 11113 unique trains. Contains national coverage including New Delhi (legitimate source data). Runtime pipeline uses filtered data/raw/traffic/train_timetable.csv.",Source only — not in active runtime path
tms_defects,data/raw/defects/tms_defects.csv,Synthetic operational workload,SYNTHETIC,30000 rows,fb9c6e11a59fca8c,"Synthetic Engineering (Track) maintenance task workload. Generated to demonstrate MDPS planning intelligence. NOT actual IR TMS records.",MDPSEngine; ConstraintEngine; MILP; RollingPlanner
smms_defects,data/raw/defects/smms_defects.csv,Synthetic operational workload,SYNTHETIC,25000 rows,cff3a7c245b60c68,"Synthetic S&T maintenance task workload. Generated to demonstrate planning intelligence. NOT actual IR SMMS records.",MDPSEngine; ConstraintEngine; MILP; RollingPlanner
tdms_defects,data/raw/defects/tdms_defects.csv,Synthetic operational workload,SYNTHETIC,25000 rows,112bbc2feabf1db8,"Synthetic TRD maintenance task workload. Generated to demonstrate planning intelligence. NOT actual IR TDMS records.",MDPSEngine; ConstraintEngine; MILP; RollingPlanner
cag_report_45_2018,data/raw/reference/cag/cag_report_45_2018_track_maintenance.pdf,CAG of India Report No. 45 (2018),REFERENCE,3.07 MB,3f495c5725597cb5,"CAG Audit Report on Track Maintenance used for benchmark context only. NOT operational data.",Documentation; ClaimVerification
cag_report_22_2022,data/raw/reference/cag/cag_report_22_2022_derailments.pdf,CAG of India Report No. 22 (2022),REFERENCE,1.99 MB,9483f27a0bd356f2,"CAG Audit Report on Derailments used for context/benchmarks. NOT operational data.",Documentation; ClaimVerification
corridor_slot_availability,data/raw/traffic/corridor_slot_availability.csv,Synthetic,SYNTHETIC,50000 rows,1de8a80288afc2d3,"Synthetic corridor block slot availability schedule derived from timetable traffic density patterns.",ConstraintEngine; MILP
live_train_delays,data/raw/traffic/live_train_delays.csv,Simulated,SYNTHETIC,50000 rows,28c627c92c4db675,"Simulated train delay event log for disruption simulation and rescheduler testing.",DisruptionEngine; ReschedulerService; DisruptionRepository
section_weather_sensitivity,data/derived/weather/section_weather_sensitivity.csv,Derived from OSM + climatology,DERIVED,68 rows,N/A,"Per-section weather vulnerability profile derived from terrain/coastal exposure. Used as Layer A in SRS.",SeasonalRiskEngine; LiveWeatherService
live_weather_simulation,data/derived/weather/live_weather_simulation.csv,Simulated CSV,SYNTHETIC,68 rows,N/A,"Simulated live weather readings for 68 sections (Layer B). Provider-abstracted for future IMD integration.",LiveWeatherService; SeasonalRiskEngine
mdps_model,data/models/mdps_model.pkl,Trained — GradientBoostingRegressor,SYNTHETIC LABELS,"651768 bytes",6d213bf130f20e08,"MDPS v2 model trained on synthetic priority labels. R²=0.9756 MAE=2.2861. Feature schema: 8 features (4 base + 4 weather). Weather features present but zero importance (see ablation note).",MDPSEngine
mdps_scaler,data/models/mdps_scaler.pkl,Trained StandardScaler,DERIVED,"807 bytes",N/A,"Feature scaler fitted on MDPS training dataset.",MDPSEngine
ppo_rescheduler_v1,ml/reinforcement_learning/artifacts/ppo_rescheduler_v1.pt,PPO trained checkpoint,SYNTHETIC SIMULATION,"80359 bytes",1af9f66acb6988d6,"PPO Actor-Critic MLP trained for ~199k timesteps on RailwayDisruptionEnv. 5 actions. 12-dim state. Final mean reward: 16.35. NOT trained on live IR operational data.",ReschedulingService
