source_id,source_name,source_type,dataset,url,organization,retrieval_date,license,geographic_scope,temporal_scope,notes
SRC-OSM-01,OpenStreetMap Railway Infrastructure,REAL,"track_geometry, stations",https://www.openstreetmap.org,OpenStreetMap Contributors,2024-03-15,ODbL,Chennai to Thoothukudi Corridor,2024 Snapshot,Extracted via Overpass API with railway tags
SRC-OGD-01,Open Government Data (OGD) Timetable,REAL,train_timetable.csv,https://data.gov.in,"Ministry of Railways, Centre for Railway Information Systems (CRIS)",2024-03-10,Government Open Data License - India,Pan-India National Timetable,Dec 2017 Release,Official passenger train timetable with ~186k stop records
SRC-OGD-02,Railway Key Statistics 1950-51 to 2013-14,REAL,"railway_statistics.csv, traffic_density.csv",https://data.gov.in,"Ministry of Railways, Directorate of Statistics and Economics",2024-03-10,Government Open Data License - India,Pan-India National Aggregate,1950-51 to 2013-14,Broad Gauge and Meter Gauge density time series
SRC-MOR-01,Indian Railways Annual Statistical Statements,REAL,"freight_statistics.csv, operating_statistics.csv",https://indianrailways.gov.in,"Railway Board, Ministry of Railways",2024-03-12,Public Domain / Official Publication,Pan-India / Southern Railway,2010-11 to 2023-24,Commodity loading in million tonnes and operating ratios
SRC-CAG-45,CAG Report No. 45 of 2017/2018 Track Maintenance,REAL,"cag_block_statistics.csv, cag_maintenance_calibration.csv",https://cag.gov.in,Comptroller and Auditor General of India,2024-03-01,Public Audit Document,Heavy Traffic Sections over Indian Railways,2013-14 to 2016-17,"Detailed audit of maintenance blocks, machine utilization, and AT welds"
SRC-CAG-22,CAG Report No. 22 of 2022 Derailments,REAL,"cag_block_statistics.csv, cag_maintenance_calibration.csv",https://cag.gov.in,Comptroller and Auditor General of India,2024-03-01,Public Audit Document,All Zonal Railways,2017-18 to 2020-21,Root causes of derailments and track maintenance backlogs
SRC-IMD-01,India Meteorological Department (IMD) Observations,REAL,"observations.csv, rainfall.csv, warnings.csv",https://mausam.imd.gov.in,"India Meteorological Department, Regional Meteorological Centre Chennai",2024-03-14,Public Climatological Data,Tamil Nadu Corridor Stations,2024 Calendar Year,"Daily rainfall, temperature, wind, and severe weather bulletins"
SRC-TNG-01,Government of Tamil Nadu Public Holidays & HR&CE Calendar,REAL,festival_calendar.csv,https://www.tn.gov.in,Public (Miscellaneous) Department & Hindu Religious and Charitable Endowments,2024-03-10,Official State Gazette,Tamil Nadu Statewide & Corridor Districts,2024 Calendar Year,Authentic public holidays and major regional temple festivals
SRC-RB-CAL-01,RailBlock Calibrated Operational Generator,CALIBRATED_SYNTHETIC,"tms_defects, smms_defects, tdms_defects, historical_block_records, block_utilization, machine_inventory, crew_inventory",,RailBlock AI Project,2026-09-06,Proprietary / Project Internal,Chennai to Thoothukudi Corridor (68 sections),2023-2024 Simulated Operational Windows,Calibrated against CAG empirical audit shortfall ratios and OSM network geometry
SRC-RB-SYN-01,RailBlock Disruption & Scenario Generator,SYNTHETIC,"disruption_events, scenario_events, synthetic_operational_events",,RailBlock AI Project,2026-09-06,Proprietary / Project Internal,Chennai to Thoothukudi Corridor,Simulation Scenarios,Purely synthetic scenarios with RB- identifiers for stress-testing optimization engines
