task_id,logged_date,target_completion_date,department,defect_type,mast_number,severity,priority,section_id,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
TDMS_TASK_000001,2024-09-26,2024-10-10,TRACTION,Insulator Damage,RB-OHE-000001,MEDIUM,P3_NORMAL,SEC_024,KSGL,Karasangal - Olakur Block,12.310821,79.726766,2.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000002,2024-11-18,2024-12-20,TRACTION,Substation Feed Issue,RB-OHE-000002,MEDIUM,P3_NORMAL,SEC_006,MN,Meenambakkam - Tirusulam Block,12.982353,80.169946,3.2,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000003,2024-07-28,2024-08-14,TRACTION,Neutral Section Fault,RB-OHE-000003,HIGH,P2_URGENT,SEC_004,STM,St. Thomas Mount - Palavanthangal Block,12.991168,80.189407,2.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000004,2024-05-31,2024-06-16,TRACTION,Catenary Wear,RB-OHE-000004,HIGH,P2_URGENT,SEC_048,LLI,Lalgudi - Valadi Block,10.874843,78.80378,4.3,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000005,2024-01-02,2024-01-10,TRACTION,Catenary Wear,RB-OHE-000005,HIGH,P2_URGENT,SEC_009,CMP,Chromepet - Tambaram Sanatorium Block,12.938771,80.131948,4.3,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000006,2024-08-12,2024-08-25,TRACTION,Catenary Wear,RB-OHE-000006,HIGH,P2_URGENT,SEC_052,TP,Tiruchchirapalli Fort - Tiruchchirappalli Palakarai Block,10.810536,78.693385,4.2,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000007,2024-11-28,2024-11-30,TRACTION,Neutral Section Fault,RB-OHE-000007,CRITICAL,P1_EMERGENCY,SEC_051,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.828601,78.700314,2.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000008,2024-02-21,2024-03-10,TRACTION,Insulator Damage,RB-OHE-000008,MEDIUM,P3_NORMAL,SEC_046,PMB,Pullampadi - Kattur Block,10.907586,78.871764,1.8,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000009,2024-03-30,2024-04-11,TRACTION,Catenary Wear,RB-OHE-000009,HIGH,P2_URGENT,SEC_054,TPJ,Tiruchchirappalli Junction - Punggudi Block,10.772017,78.653832,4.0,4,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000010,2024-07-11,2024-07-15,TRACTION,Substation Feed Issue,RB-OHE-000010,CRITICAL,P1_EMERGENCY,SEC_025,OLA,Olakur - Tindivanam Block,12.283139,79.700972,3.6,3,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000011,2024-07-14,2024-07-17,TRACTION,Neutral Section Fault,RB-OHE-000011,CRITICAL,P1_EMERGENCY,SEC_060,KFC,Kalpattichatram - Ayyalur Block,10.490412,78.168859,3.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000012,2024-06-04,2024-06-08,TRACTION,Catenary Wear,RB-OHE-000012,CRITICAL,P1_EMERGENCY,SEC_062,VDM,Vadamadurai - Kudalnagar Block,10.061317,78.104567,3.7,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000013,2024-02-24,2024-03-12,TRACTION,Substation Feed Issue,RB-OHE-000013,HIGH,P2_URGENT,SEC_017,SKL,Singaperumal Koil - Chengalpattu Junction Block,12.748396,79.996776,3.6,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000014,2024-06-26,2024-06-28,TRACTION,Substation Feed Issue,RB-OHE-000014,CRITICAL,P1_EMERGENCY,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.795543,78.686128,3.5,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000015,2024-07-03,2024-07-07,TRACTION,Insulator Damage,RB-OHE-000015,CRITICAL,P1_EMERGENCY,SEC_002,MBM,Mambalam - Guindy Block,13.022626,80.219808,2.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000016,2024-03-08,2024-03-10,TRACTION,Substation Feed Issue,RB-OHE-000016,CRITICAL,P1_EMERGENCY,SEC_048,LLI,Lalgudi - Valadi Block,10.873864,78.784189,3.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000017,2024-08-10,2024-08-22,TRACTION,Neutral Section Fault,RB-OHE-000017,HIGH,P2_URGENT,SEC_064,MDU,Madurai Junction - Tiruparankundram Block,9.893142,78.080804,3.0,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000018,2024-11-13,2024-11-19,TRACTION,Insulator Damage,RB-OHE-000018,CRITICAL,P1_EMERGENCY,SEC_044,KLGM,Kallagam - Kallakkudi Palanganatham Block,11.000034,78.981328,1.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000019,2024-02-01,2024-02-06,TRACTION,Catenary Wear,RB-OHE-000019,CRITICAL,P1_EMERGENCY,SEC_051,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.827924,78.697687,4.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000020,2024-01-30,2024-02-06,TRACTION,Substation Feed Issue,RB-OHE-000020,HIGH,P2_URGENT,SEC_046,PMB,Pullampadi - Kattur Block,10.907713,78.871943,3.2,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000021,2024-07-26,2024-08-19,TRACTION,Insulator Damage,RB-OHE-000021,MEDIUM,P3_NORMAL,SEC_020,KGZ,Karunguzhi - Madurantakam Block,12.518653,79.902578,2.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000022,2024-10-12,2024-10-22,TRACTION,Catenary Wear,RB-OHE-000022,HIGH,P2_URGENT,SEC_049,VLDE,Valadi - Srirangam Block,10.864084,78.722621,3.4,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000023,2024-02-07,2024-02-21,TRACTION,Insulator Damage,RB-OHE-000023,MEDIUM,P3_NORMAL,SEC_067,TIP,Tattapparai - Milavittan Block,8.82178,78.047144,2.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000024,2024-12-11,2024-12-12,TRACTION,Catenary Wear,RB-OHE-000024,CRITICAL,P1_EMERGENCY,SEC_044,KLGM,Kallagam - Kallakkudi Palanganatham Block,10.990952,78.972767,4.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000025,2024-06-23,2024-07-01,TRACTION,Neutral Section Fault,RB-OHE-000025,HIGH,P2_URGENT,SEC_063,KON,Kudalnagar - Madurai Junction Block,9.929223,78.10842,2.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000026,2024-02-08,2024-02-13,TRACTION,Neutral Section Fault,RB-OHE-000026,CRITICAL,P1_EMERGENCY,SEC_033,TVNL,Tiruvennainallur Road - Pavunur Block,11.775316,79.386345,3.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000027,2024-06-12,2024-06-21,TRACTION,Catenary Wear,RB-OHE-000027,HIGH,P2_URGENT,SEC_055,PUG,Punggudi - Kolatur Block,10.706082,78.555813,4.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000028,2024-06-07,2024-06-14,TRACTION,Substation Feed Issue,RB-OHE-000028,HIGH,P2_URGENT,SEC_027,MTL,Mailam - Perani Block,12.131009,79.576707,3.4,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000029,2024-05-22,2024-05-25,TRACTION,Neutral Section Fault,RB-OHE-000029,CRITICAL,P1_EMERGENCY,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.802627,78.690758,2.7,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000030,2024-08-02,2024-08-08,TRACTION,Substation Feed Issue,RB-OHE-000030,CRITICAL,P1_EMERGENCY,SEC_006,MN,Meenambakkam - Tirusulam Block,12.981829,80.168795,3.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000031,2024-03-31,2024-04-10,TRACTION,Neutral Section Fault,RB-OHE-000031,HIGH,P2_URGENT,SEC_004,STM,St. Thomas Mount - Palavanthangal Block,12.991069,80.189134,2.8,4,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000032,2024-12-28,2024-12-29,TRACTION,Substation Feed Issue,RB-OHE-000032,CRITICAL,P1_EMERGENCY,SEC_018,CGL,Chengalpattu Junction - Ottivakkam Block,12.655245,79.977677,3.9,4,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
