section_id,from_station,to_station,start_km,end_km,flood_prone,landslide_prone,waterlogging_history_score,fog_prone,high_temp_rail_risk,overall_section_vulnerability,asset_multiplier_track,asset_multiplier_ohe,asset_multiplier_signal,source,source_type,provenance_status,notes
SEC_001,MS,MBM,0.0,6.229,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_002,MBM,GDY,6.229,10.022,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_003,GDY,STM,10.022,12.22,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_004,STM,PZA,12.22,14.803,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_005,PZA,MN,14.803,16.348,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_006,MN,TLM,16.348,17.464,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_007,TLM,PV,17.464,19.536,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_008,PV,CMP,19.536,21.616,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_009,CMP,TBMS,21.616,23.657,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_010,TBMS,TBM,23.657,25.616,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_011,TBM,PRGL,25.616,29.014,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_012,PRGL,VDR,29.014,30.888,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
