task_id,logged_date,target_completion_date,department,defect_type,signal_id,severity,priority,section_id,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
SMMS_TASK_000001,2024-09-26,2024-10-07,SIGNAL,Point Machine Issue,RB-SIG-000001,MEDIUM,P3_NORMAL,SEC_019,OV,Ottivakkam - Karunguzhi Block,12.545464,79.920914,2.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000002,2024-11-18,2024-12-16,SIGNAL,Cable Fault,RB-SIG-000002,MEDIUM,P3_NORMAL,SEC_021,MMK,Madurantakam - Melmaruvattur Block,12.483983,79.876831,2.9,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000003,2024-07-28,2024-08-12,SIGNAL,Axle Counter Error,RB-SIG-000003,HIGH,P2_URGENT,SEC_005,PZA,Palavanthangal - Meenambakkam Block,12.989816,80.186162,1.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000004,2024-05-31,2024-06-05,SIGNAL,Interlocking Fault,RB-SIG-000004,CRITICAL,P1_EMERGENCY,SEC_017,SKL,Singaperumal Koil - Chengalpattu Junction Block,12.729917,79.991306,4.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000005,2024-01-02,2024-01-05,SIGNAL,Interlocking Fault,RB-SIG-000005,CRITICAL,P1_EMERGENCY,SEC_038,ICG,Ichchangadu - Mathur Block,11.340292,79.211689,4.0,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000006,2024-08-12,2024-08-23,SIGNAL,Track Circuit Failure,RB-SIG-000006,HIGH,P2_URGENT,SEC_062,VDM,Vadamadurai - Kudalnagar Block,10.284471,78.103405,2.2,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000007,2024-11-28,2024-11-29,SIGNAL,Axle Counter Error,RB-SIG-000007,CRITICAL,P1_EMERGENCY,SEC_040,SNDI,Sendurai - Ottakovil Block,11.24194,79.144795,2.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000008,2024-02-21,2024-03-08,SIGNAL,Point Machine Issue,RB-SIG-000008,MEDIUM,P3_NORMAL,SEC_007,TLM,Tirusulam - Pallavaram Block,12.972416,80.157214,2.3,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000009,2024-03-30,2024-04-10,SIGNAL,Interlocking Fault,RB-SIG-000009,HIGH,P2_URGENT,SEC_027,MTL,Mailam - Perani Block,12.106952,79.555788,3.7,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000010,2024-07-11,2024-07-19,SIGNAL,Axle Counter Error,RB-SIG-000010,HIGH,P2_URGENT,SEC_031,VM,Viluppuram Junction - Kandambakkam Block,11.922951,79.48027,2.0,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
